,drop_feature,corr_feature,corr_value
73,E4_Q_16,E4_Q_12,1.0
74,E4_Q_16,E4_Q_15,1.0
66,E4_Q_15,E4_Q_12,1.0
65,E4_Q_15,E4_Q_11,1.0
72,E4_Q_16,E4_Q_11,1.0
59,E4_Q_12,E4_Q_11,1.0
433,GEN10_SP_L_83,GEN10_SP_L_82,0.9999999911529573
447,GEN10_SP_N_91,GEN10_SP_N_90,0.9999999722677014
430,GEN10_SP_L_79,GEN10_SP_L_78,0.9999999634703657
375,SPA_F3_35,SPA_F3_34,0.999997984859325
228,SP_F3_35,SP_F3_34,0.9999957917535998
444,GEN10_SP_L_85,GEN10_SP_L_83,0.9999497455448259
443,GEN10_SP_L_85,GEN10_SP_L_82,0.9999497335557039
431,GEN10_SP_L_81,GEN10_SP_L_78,0.9999151993362393
432,GEN10_SP_L_81,GEN10_SP_L_79,0.9999151170281597
478,Weight,Parcelled Model Weight,0.9993003851339265
460,GEN10_SP_EDI_03,GEN10_SP_I_46,0.9989394406740965
153,SP_A_03,ND_ECC_01,0.9984802192198465
425,GEN10_SP_I_50,SP_F3_34,0.99805027740351
426,GEN10_SP_I_50,SP_F3_35,0.9980336989093772
233,SPA_A_03,ND_ECC_05,0.9959891362798425
454,GEN10_SP_EDI,E4_Q_12,0.995334509196194
453,GEN10_SP_EDI,E4_Q_11,0.995334509196194
456,GEN10_SP_EDI,E4_Q_16,0.995334509196194
455,GEN10_SP_EDI,E4_Q_15,0.995334509196194
157,SP_A_05,SP_A_01,0.9944981569277077
91,EA1_E_01,E1_E_01,0.9944178701174605
23,E2_I_05,E2_I_04,0.9940094271285985
95,EA1_E_02,E1_E_02,0.9936699515068859
445,GEN10_SP_N_90,GEN10_SP_N_89,0.9890390302754107
446,GEN10_SP_N_91,GEN10_SP_N_89,0.9890374978616576
420,GEN10_SP_I_45,GEN10_SP_I_43,0.9880530938661433
387,SP_H_39,SP_A_04,0.9878589043429573
401,SPA_H_39,SPA_A_04,0.9872942318109159
336,SPA_F1_30,SPA_F1_29,0.9851673952288954
237,SPA_A_05,SPA_A_01,0.984000737078261
47,E4_Q_06,E4_Q_05,0.983013537445483
214,SP_F1_30,SP_F1_29,0.9803968446473493
10,E2_G_09,E2_G_04,0.9798069529001516
64,E4_Q_15,E2_I_05,0.9786132398920353
58,E4_Q_12,E2_I_05,0.9786132398920353
71,E4_Q_16,E2_I_05,0.9786132398920353
53,E4_Q_11,E2_I_05,0.9786132398920353
115,EA2_K_02,E2_K_02,0.9784885571696906
111,EA2_K_01,E2_K_01,0.9784578174336765
256,SPA_B1_13,SPA_B1_12,0.9783192035488312
243,SPA_A_07,SPA_A_02,0.9770424244701866
452,GEN10_SP_EDI,E2_I_05,0.974044882244396
70,E4_Q_16,E2_I_04,0.9727543302384449
57,E4_Q_12,E2_I_04,0.9727543302384449
63,E4_Q_15,E2_I_04,0.9727543302384449
52,E4_Q_11,E2_I_04,0.9727543302384449
169,SP_A_07,SP_A_02,0.972634721217899
6,E1_C_05,E1_C_04,0.9720233053870717
0,E1_A_09,E1_A_04,0.97177291850193
451,GEN10_SP_EDI,E2_I_04,0.9681977995630539
155,SP_A_04,ND_ECC_02,0.9665435782811218
280,SPA_B1_17,SPA_B1_16,0.9646009607386055
232,SPA_A_02,E2_H_10,0.9622826479298102
386,SP_H_39,ND_ECC_02,0.9581455852538087
151,SP_A_02,E1_B_10,0.9580316470644892
314,SPA_E1_27,SPA_E1_26,0.9579375168008364
163,SP_A_06,SP_A_02,0.9539406070947558
250,SPA_B1_12,SPA_B1_11,0.9478564474968855
103,EA2_H_02,E2_I_06,0.9419628800118088
268,SPA_B1_16,E2_H_09,0.9407792010393179
106,ND_ERL_02,ND_ERL_01,0.9403671212417934
186,SP_B1_13,SP_B1_12,0.9375546718033342
260,SPA_B1_14,SPA_B1_12,0.9322740059551218
242,SPA_A_07,E2_H_10,0.9317025787026295
347,SPA_F1_31,SPA_F1_30,0.9306982610203818
108,EA2_J_01,E2_G_01,0.9294919037468722
40,G5NDG10,G5NDG09,0.9290898151261247
170,SP_A_07,SP_A_06,0.9287247792801966
208,SP_E1_27,SP_E1_26,0.9268694741601456
346,SPA_F1_31,SPA_F1_29,0.925815501423699
255,SPA_B1_13,SPA_B1_11,0.9238555149890326
167,SP_A_07,E1_B_10,0.9235478418211873
240,SPA_A_06,SPA_A_02,0.9227456149475376
245,SPA_B1_11,E2_H_09,0.9227138282525361
87,EA1_D_01,E1_A_01,0.9140334838469255
205,SP_B3_23,SP_B3_22,0.9118720610373969
244,SPA_A_07,SPA_A_06,0.9080558585095523
261,SPA_B1_14,SPA_B1_13,0.9066999542883437
269,SPA_B1_16,SPA_B1_11,0.9065275627912257
12,E2_G_11,E2_G_06,0.9063016470866537
81,EA1_B_02,E1_C_06,0.9048363022339919
259,SPA_B1_14,SPA_B1_11,0.9019146004785131
274,SPA_B1_17,E2_H_09,0.9010760357001587
160,SP_A_06,E1_B_10,0.8985406524540008
384,SPA_G_38,SPA_G_37,0.8962490215414758
28,G5NDG06,G5NDG05,0.8950587210787152
55,E4_Q_12,E1_C_05,0.893662422851992
50,E4_Q_11,E1_C_05,0.893662422851992
61,E4_Q_15,E1_C_05,0.893662422851992
68,E4_Q_16,E1_C_05,0.893662422851992
25,E2_J_04,E2_J_01,0.8930041197719615
270,SPA_B1_16,SPA_B1_12,0.8920518661901352
216,SP_F1_31,SP_F1_30,0.8912680960991052
449,GEN10_SP_EDI,E1_C_05,0.889830658513437
45,E4_Q_02,E4_Q_01,0.8888366279883276
271,SPA_B1_16,SPA_B1_13,0.8843237509522327
248,SPA_B1_12,E2_H_09,0.8841331942871609
428,GEN10_SP_I_51,GEN10_SP_I_48,0.8837809755846308
215,SP_F1_31,SP_F1_29,0.8836815970130062
350,SPA_F2_33,SPA_F2_32,0.8805640213665682
462,GEN10_SP_EDI_06,GEN10_SP_EDI_05,0.8762575537480233
21,E2_I_05,E1_C_05,0.8745318626796621
464,GEN10_SP_EDI_07,GEN10_SP_EDI_03,0.8717265168747641
121,ND_ECC_06,E1_B_10,0.8715757930141104
221,SP_F2_33,SP_F2_32,0.8710812148376129
463,GEN10_SP_EDI_07,GEN10_SP_I_46,0.8699570623112872
18,E2_I_04,E1_C_05,0.869288921024729
202,SP_B1_17,SP_B1_16,0.8674366976687246
252,SPA_B1_13,E2_H_09,0.8669833875134686
272,SPA_B1_16,SPA_B1_14,0.8660035714957344
275,SPA_B1_17,SPA_B1_11,0.8639706631383569
2,E1_A_11,E1_A_06,0.8625489013120782
30,G5NDG07,G5NDG06,0.8624971753976055
276,SPA_B1_17,SPA_B1_12,0.8614810829190215
257,SPA_B1_14,E2_H_09,0.8606184485851309
98,EA1_E_02,EA1_E_01,0.8602513999033449
8,E1_E_02,E1_E_01,0.8596670106792561
277,SPA_B1_17,SPA_B1_13,0.859502610625349
94,EA1_E_02,E1_E_01,0.8588361855862314
239,SPA_A_06,E2_H_10,0.8574025302979467
14,E2_H_10,E2_H_06,0.8569408490732837
54,E4_Q_12,E1_C_04,0.8558049926677536
49,E4_Q_11,E1_C_04,0.8558049926677536
60,E4_Q_15,E1_C_04,0.8558049926677536
67,E4_Q_16,E1_C_04,0.8558049926677536
176,SP_B1_12,SP_B1_11,0.8535709659563734
468,GEN10_SP_EDI_08,ND_ECC_06,0.8532865213494722
92,EA1_E_01,E1_E_02,0.8529319465256987
93,EA1_E_01,ND_PSD_01,0.8524767422445935
448,GEN10_SP_EDI,E1_C_04,0.8521234993833418
56,E4_Q_12,E2_I_02,0.8520886501316677
51,E4_Q_11,E2_I_02,0.8520886501316677
69,E4_Q_16,E2_I_02,0.8520886501316677
62,E4_Q_15,E2_I_02,0.8520886501316677
26,E2_K_02,E2_K_01,0.8486548804858607
450,GEN10_SP_EDI,E2_I_02,0.8481731650409531
117,EA2_K_02,EA2_K_01,0.8474784856806006
429,GEN10_SP_I_53,GEN10_SP_I_52,0.8468834386143916
265,SPA_B1_15,SPA_B1_13,0.846613368577793
278,SPA_B1_17,SPA_B1_14,0.8459626820552997
84,ND_PSD_01,E1_E_01,0.8444903419489863
82,ND_INC_01,E1_A_07,0.8427481135658128
122,ND_INC_03,E1_A_07,0.8415956800642428
231,SPA_A_02,E2_H_06,0.8403308275200002
7,E1_D_04,E1_D_01,0.8397281674745968
114,EA2_K_02,E2_K_01,0.8391483905700209
296,SPA_B2_20,SPA_B2_18,0.8386925440137267
299,SPA_B3_23,SPA_B3_22,0.8383982475578016
119,ND_INC_02,E2_G_07,0.8377282424912456
20,E2_I_05,E1_C_04,0.837478213667393
22,E2_I_05,E2_I_02,0.8338282632503001
264,SPA_B1_15,SPA_B1_12,0.8326830264919768
17,E2_I_04,E1_C_04,0.8324547782156412
