,Field,Gini
342,OPTIN_01BEN,0.3552
240,SP_B1_16,0.2717
241,SP_B1_17,0.2536
257,SP_F2_33,0.2205
231,SP_A_07,0.2169
256,SP_F2_32,0.2169
195,ND_ECC_06,0.1949
329,GEN10_SP_N_89,0.1876
330,GEN10_SP_N_90,0.1854
331,GEN10_SP_N_91,0.1853
21,E1_B_09,0.1803
247,SP_B3_23,0.1794
89,E4_Q_04,0.1752
109,ND_ECC_02,0.1752
18,E1_B_06,0.1731
237,SP_B1_13,0.1698
113,ND_ECC_04,0.1677
262,SP_G_38,0.1655
88,E4_Q_03,0.1651
261,SP_G_37,0.1646
8,E1_A_07,0.1645
236,SP_B1_12,0.1638
196,ND_INC_03,0.1633
340,GEN10_SP_EDI_08,0.1629
238,SP_B1_14,0.1594
22,E1_B_10,0.1507
226,SP_A_02,0.1497
219,EA5_S_01,0.1453
157,ND_ECC_08,0.1433
156,ND_ECC_07,0.1413
23,E1_B_11,0.1404
170,ND_HAC_09,0.1402
303,SP_H_41,0.1401
314,GEN10_SP_I_49,0.14
228,SP_A_04,0.1358
307,GEN10_SP_I_42,0.1285
301,SP_H_39,0.1284
309,GEN10_SP_I_44,0.1278
316,GEN10_SP_I_51,0.1257
74,G5NDG02FULL,0.124
312,GEN10_SP_I_47,0.1204
239,SP_B1_15,0.1203
337,GEN10_SP_EDI_05,0.1182
119,ND_INC_01,0.1174
339,GEN10_SP_EDI_07,0.1168
279,SPA_B1_17,0.1151
338,GEN10_SP_EDI_06,0.1145
335,GEN10_SP_EDI_03,0.1141
299,SPA_G_37,0.1139
311,GEN10_SP_I_46,0.1138
300,SPA_G_38,0.1131
278,SPA_B1_16,0.1128
269,SPA_A_07,0.1105
84,G5NDG12,0.1078
54,E2_H_06,0.1056
230,SP_A_06,0.1047
274,SPA_B1_12,0.1038
266,SPA_A_04,0.1025
275,SPA_B1_13,0.102
264,SPA_A_02,0.1016
276,SPA_B1_14,0.101
333,GEN10_SP_N_92,0.0994
57,E2_H_09,0.099
187,ND_HAC_08,0.0988
186,ND_HAC_07,0.0988
302,SP_H_40,0.0976
58,E2_H_10,0.0976
44,E2_G_07,0.0972
273,SPA_B1_11,0.0971
253,SP_F1_29,0.0966
246,SP_B3_22,0.0903
194,ND_LNK_01,0.09
294,SPA_F2_32,0.0893
9,E1_A_08,0.0889
295,SPA_F2_33,0.0887
341,GEN10_SP_EDI_09,0.0879
254,SP_F1_30,0.0853
313,GEN10_SP_I_48,0.084
277,SPA_B1_15,0.0816
203,G4_ND_SPAECII,0.0783
268,SPA_A_06,0.0761
235,SP_B1_11,0.0739
160,EA2_Q_02,0.0709
255,SP_F1_31,0.0696
304,SPA_H_39,0.0693
292,SPA_F1_30,0.0685
291,SPA_F1_29,0.0683
293,SPA_F1_31,0.0682
188,ND_INC_02,0.067
346,EA4_S_06,0.0615
347,EA4_S_08,0.061
285,SPA_B3_23,0.0609
199,ND_ERL_MAPA,0.053
284,SPA_B3_22,0.0515
90,E4_Q_05,0.0502
141,EA1_F_04,0.049
91,E4_Q_06,0.0482
305,SPA_H_40,0.0467
45,E2_G_08,0.0458
334,GEN10_SP_EDI_02,0.0397
336,GEN10_SP_EDI_04,0.0349
248,SP_C_24,0.0329
69,E2_J_02,0.0322
185,ND_HAC_06,0.0321
263,SPA_A_01,0.0309
220,EA5_U_01,0.0296
345,EA4_S_04,0.0267
52,E2_H_04,0.0262
267,SPA_A_05,0.0209
223,E5_S_02,0.0171
191,ND_HHO,0.017
1,OE_EMPLOYMENT_V,0.0169
117,ND_HAC_04,0.0164
15,E1_B_03,0.0144
265,SPA_A_03,0.0142
16,E1_B_04,0.014
321,GEN10_SP_L_80,0.0136
50,E2_H_02,0.0119
161,ND_ECC_09,0.0118
162,ND_ECC_10,0.0118
177,ND_HAC_10,0.0118
59,E2_H_11,0.0115
49,E2_H_01,0.0115
